company_name,job_title,location,est_salary,rating,sector,industry,job_age,year_founded,job_description
The Hershey Company,Data Scientist,"Hershey, PA",$65K - $116K (Glassdoor est.),3.9,Manufacturing,Food & Beverage Manufacturing,30d+,1894,"Title: Data Scientist
Location: Hershey, PA
NOTE: ***This position can be 100% remote***

Position Description:

The Enterprise Data organization drives value for Hershey by providing high-quality, well governed data to the Enterprise for analytics and decision-making. The Data Scientist will be part of the Enterprise Data Science team, working with Hershey business partners, technical engineers, data architects, and project managers to ensure data science standards adhere to company best practice and help to deliver rapid impactful benefits. You will act as a trusted advisor for Hershey business partners to build new, data-driven, machine-intelligent capabilities that impact the business. You will work with large volumes of data, innovative technologies, and advanced methods to solve real business problems. You'll design and run experiments, research new algorithms, and find new ways of optimizing risk, profitability, and the customer experience. You will work with a diverse team of business analysts, technical engineers, data architects, and project managers to deliver outcomes aligned with our business partner’s strategy. In addition, you will work directly with the Director of Data Science to ensure consistency and compliance of deliverables to frameworks and governance processes."
Apisero,Data Scientist,Remote,Employer Provided Salary:$70 - $75 Per Hour,4.3,Information Technology,Information Technology Support Services,7d,2016,"We're Hiring Data scientists for our Internal client's projects
Contract - Remote
- A/b testing
- Statistics
- Python, R Programming
- Timer series and Forecasting
Job Type: Contract
Salary: $70.00 - $75.00 per hour"
Avis Budget Group,Associate Data Scientist,"Parsippany, NJ",Employer Provided Salary:$60K - $74K,3.4,Transportation & Logistics,Car & Truck Rental,30d+,1946,"Associate Data Scientist
The role of an associate data scientist is to leverage advanced data analytics and data science skills, techniques and models efficiently and effectively across many different areas and lines of the business, to help the organization best understand and predict actions, behaviors, trends, and areas of opportunity. This person will work as part of one or more product teams focused on empowering our organization to make the best decisions possible by leveraging data. We have teams focused on analytics and data science across many critical areas, including marketing, customer service, fleet, supply chain and operations.
This person will have the opportunity to contribute to helping solve problems like:
1. How to best segment and understand our customers so we can connect with them in the most personalized manner to drive more engagement and create a differentiated customer experience"
APPIC Solutions LLC,Senior Data Scientist,"Englewood, CO",Employer Provided Salary:$60 - $70 Per Hour,5.0,-1.0,-1.0,24h,Company - Private,"Data Scientist (Senior Level)
Location: Englewood, CO
(On-site day one. NO remote opportunities are available for this role. Please only apply if you are within the area or willing to relocate).
About the Role:
The ideal candidate is expected to show strong business acumen and understand business problems, develop hypotheses and test the results to influence solution design. Have experience in the OTT/broadcast industry which will help you to apply and shape solutions.
Should be hands on with various tools for data processing, analysis and visualization, programming languages and frameworks to derive meaningful insights. (Examples: Python, Spark, R, TensorFlow, PyTorch, AWS Kinesis, Redshift, etc). Day-to-Day Responsibilities:"
Precise Solutions,Data Scientist,"Waukegan, IL",Employer Provided Salary:$60 Per Hour,2.9,-1.0,-1.0,30d+,Company - Private,"At Precise Solutions, we are looking for top talent consultants to bring on as employees of our organization and service our clients in the various Life Sciences Industries. We are much more than a consulting firm! Precise Solutions provides competitive compensation packages with great salaries, benefits, health insurance, paid time off and employer-based 401k contributions.
We currently have an immediate need for the following:
Job Title: Data Scientist
Location: Remote until virus restrictions are removed. Onsite in Lake County, Illinois after restrictions.
Compensation: $60.00 per hour, Paid Time off, Company 401k contributions, Health, dental, and vision insurance. Total Annual Compensation including benefits is $138,000.00
Note: Please do not submit resumes with candidate photos, they will not be considered.
Enterprise Data Scientist is the key player in driving advanced analytics and maturing AI at client, supporting multiple use cases across various business technology organizations within the client; covering but not limited to language/image processing, machine learning analytics, deep learning analytics etc. The use cases cover areas in the client’s research, commercial operations, manufacturing systems, supply chain planning, logistics, infrastructure processes etc."
Circle,Data Scientist,"Portland, OR",$79K - $139K (Glassdoor est.),4.2,Financial Services,Financial Transaction Processing,30d+,2013,"Circle is a global financial technology firm that enables businesses of all sizes to harness the power of digital currency and public blockchains for payments, commerce and financial applications worldwide. Circle platforms and products provide a suite of internet-native financial services for payments, treasury infrastructure and capital formation. Circle is also a principal developer of USD Coin (USDC), which has become the fastest growing dollar digital currency in the world. USDC has grown to over 53+ billion in circulation and supported over $1.9+ trillion in transactions in the past year. Circle's payments and treasury infrastructure services available through the Circle Account and APIs helps bridge the legacy financial system and digital currency and blockchain based finance. Circle's SeedInvest service brings internet-native fundraising and capital formation to startups and growth companies. Combined, Circle's suite of services helps companies to participate in a more open, global and inclusive financial system.
What you'll be part of:
With the mission ""To raise global economic prosperity through the frictionless exchange of financial value,"" Circle was founded on the belief that the internet, blockchains and digital currency will rewire the global economic system, creating a fundamentally more open, inclusive, efficient and integrated world economy. We envision a global economy where people and businesses everywhere can more freely connect and transact with each other with new technologies for digital money and internet-native finance. We believe such a system can raise prosperity for people and companies everywhere. Our mission is powered by the values we espouse and which we expect all Circlers to respect. We are Multistakeholder, serving the needs of our customers, our shareholders, our employees and families, our local communities and our world. Furthermore, we are also Mindful, Driven by Excellence, and High Integrity."
Nike,"Data Scientist - Commercial Analytics (Open to remote work, except the following locations: SD, VT, and WV)","Beaverton, OR",Employer Provided Salary:$117K,4.1,Manufacturing,Consumer Product Manufacturing,30d+,1972,"Become a Part of the NIKE, Inc. Team
NIKE, Inc. does more than outfit the world’s best athletes. It is a place to explore potential, obliterate boundaries and push out the edges of what can be. The company looks for people who can grow, think, dream and create. Its culture thrives by embracing diversity and rewarding imagination. The brand seeks achievers, leaders and visionaries. At NIKE, Inc. it’s about each person bringing skills and passion to a challenging and constantly evolving game.
Analytics is a competitive differentiator for Nike and is fundamentally changing how the company serves athletes and consumers around the world. The Nike Commercial Analytics team builds analytic-based solutions to manage marketplace and optimize the supply chain. Using big data, advanced analytics and innovative technology, we strive to ensure that Nike gets the right product to the right place at the right time for the consumers!"
Manufacturers Bank,Data Scientist (Remote),"Los Angeles, CA",$75K - $176K (Glassdoor est.),3.6,Financial Services,Investment & Asset Management,30d+,Company - Private,"NEW DIGITAL BANK MISSION STATEMENT:
Join us on our mission to create a completely new, 100% digital bank that truly serves customers’ best interests. We are a close-knit and fun-loving team of seasoned financial services professionals who came together for the challenge of building a bank from scratch – and we are committed to doing it all the right way (from technology infrastructure to modern marketing to customer experience).
We work with the flexibility and speed of a start-up. But we also have significant stability and capital from being part of the SMBC Group (Sumitomo Mitsui Banking Corporation). SMBC is the 2nd largest bank in Japan and the 12th largest bank in the world with operations in over 40 countries. And SMBC is committed to disrupting the US marketplace with ground-breaking products.
It’s the best of both worlds, and we are seeking proven marketing leaders to propel us towards a national launch. We have both the ambitious growth plans and the “patient capital” necessary to execute a multi-year plan. Join us on the journey to deliver an exciting concept of evolved banking."
Pinterest,"Data Scientist, Shopping Monetization","San Francisco, CA",$95K - $227K (Glassdoor est.),4.2,Information Technology,Internet & Web Services,7d,2010,"About Pinterest:
Millions of people across the world come to Pinterest to find new ideas every day. It's where they get inspiration, dream about new possibilities and plan for what matters most. Our mission is to help those people find their inspiration and create a life they love. In your role, you'll be challenged to take on work that upholds this mission and pushes Pinterest forward. You'll grow as a person and leader in your field, all the while helping Pinners make their lives better in the positive corner of the internet.
Our new progressive work model is called PinFlex, a term that's uniquely Pinterest to describe our flexible approach to living and working. Visit our PinFlex landing page to learn more.
As a Data Scientist you will shape the future of people-facing and business-facing products we build at Pinterest. Your expertise in quantitative modeling, experimentation and algorithms will be utilized to solve some of the most complex engineering challenges at the company. You will collaborate on a wide array of product and business problems with a diverse set of cross-functional partners across Product, Engineering, Design, Research, Product Analytics, Data Engineering and others. The results of your work will influence and up-level our product development teams while introducing greater scientific rigor into the real world products serving hundreds of millions of Pinners, creators, advertisers and merchants around the world.

Not Specified
0"
SIL International,Data Scientist,Remote,Employer Provided Salary:$50K - $90K,4.3,"Arts, Entertainment & Recreation",Culture & Entertainment,14d,Nonprofit Organization,"Job Description Summary:
The data scientist will work alongside the existing SIL AI team while being mostly responsible for driving appropriate adoption of advanced technology across the Bible translation process, helping teams and organizations produce high quality results via human-centered AI workflows.
The data scientist will:
(1) Analyze the ecosystem of technology for augmenting translation processes to identify and comprehensively document existing technology that is ready for use, experimental technology that needs to be validated for Bible translation, and gaps within Bible translation processes that could easily be augmented by technology inside or outside of the Bible translation world.
(2) Help develop a playbook for translation teams wanting to augment their translation process to help them understand how they can begin to modify known translation processes with advanced technology (without completely destroying their existing process in favor of something with which they have no
experience)."
Medical Products Laboratories,Data Scientist,Remote,Employer Provided Salary:$40 Per Hour,1.8,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,12d,Company - Private,"We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company. We will rely on you to build data products to extract valuable business insights. In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We want to see a passion for machine-learning and research. Your goal will be to help our company analyze trends to make better decisions.
Responsibilities
Identify valuable data sources and automate collection processes
Undertake preprocessing of structured and unstructured data
Analyze large amounts of information to discover trends and patterns
Build predictive models and machine-learning algorithms"
Kroger,Advanced Data Engineer,Remote,Employer Provided Salary:$84K - $186K,3.1,Retail & Wholesale,Grocery Stores,6d,Company - Public,"POSITION SUMMARY
Accountable for leading activities that create deliverables to guide the direction, development, and delivery of technological responses to targeted business outcomes. Provide facilitation, analysis and design tasks required for the development of an enterprise's data and information architecture, focusing on data asset for the enterprise. Develop reusable standards, design patterns, guidelines, and configurations to evolve the technical infrastructure related to data and information across the enterprise, including direct collaboration with 84.51. Demonstrate the company’s core values of respect, honesty, integrity, diversity, inclusion and safety.
ESSENTIAL JOB FUNCTIONS:
Participate in the development and communication of data strategy and roadmaps across the technology organization to support project portfolio and business strategy Participate in, and drive, the development and communication of enterprise standards for data domains and data solutions, focusing on simplified integration and streamlined operational and analytical uses Provide technical leadership to ensure clarity between ongoing projects, including direct collaboration with 84.51Drive digital innovation by leveraging innovative new technologies and approaches to renovate, extend, and transform the existing core data assets, including SQL-based, NoSQL-based, and Cloud-based data platforms Define high-level migration plans to address the gaps between the current and future state Present opportunities with cost/benefit analysis to leadership to shape sound architectural decisions Lead the analysis of the technology environment to detect critical deficiencies and recommend solutions for improvement Mentor team members in data principles, patterns, processes and practices Promote the reuse of data assets, including the management of the data catalog for reference Draft and review architectural diagrams, interface specifications and other design documents Must be able to perform the essential job functions of this position with or without reasonable accommodation"
Econtenti Inc,Data Scientist,"New Orleans, LA",Employer Provided Salary:$78K - $190K,4.1,Management & Consulting,Business Consulting,8d,Company - Private,"The Expertise You Have:
Preferred Master’s Degree in Engineering, Computer Science, Mathematics, Computational Statistics, Operations Research, Machine Learning or related technical fields.
Advanced knowledge in model evaluation, tuning and performance, operationalization and scalability of scientific techniques and establishing decision strategies.
Hands on experience developing supervised and unsupervised machine learning algorithms (regression, decision trees/random forest, neural networks, feature selection/reduction, clustering, parameter tuning, etc.). Familiarity with reinforcement learning is highly desirable.
Experience in evaluating and making decisions around the use of new or existing tools for a project.
Experience in projects involving large scale-multi dimensional databases, complex business infrastructure, and cross-functional teams. Three to five successfully launched ML projects would be ideal."
Soft Standard Solutions,Data Scientist,Remote,-1.0,-1.0,-1.0,-1.0,4d,-1.0,"Job Description
We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company. We will rely on you to build data products to extract valuable business insights. In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data.
Responsibilities
Identify valuable data sources and automate collection processes
Undertake preprocessing of structured and unstructured data
Analyze large amounts of information to discover trends and patterns"
Biolife Plasma Services,Junior Data Scientist,"Bannockburn, IL",$66K - $134K (Glassdoor est.),3.3,Healthcare,Health Care Services & Hospitals,6d,1999,"By clicking the “Apply” button, I understand that my employment application process with Takeda will commence and that the information I provide in my application will be processed in line with Takeda’s Privacy Notice and Terms of Use. I further attest that all information I submit in my employment application is true to the best of my knowledge.
Job Description
About BioLife Plasma Services
Every day at BioLife, we feel good knowing that what we do helps improve the lives of patients with rare diseases. While you focus on our donors, we’ll support you. We offer a purpose you can believe in, a team you can count on, opportunities for career growth, and a comprehensive benefits program, all in a fast-paced, friendly environment.
Bannockburn, IL
Employee
Regular
Full time"
Apptrics LLC,Data Scientist,Remote,Employer Provided Salary:$50 - $55 Per Hour,5.0,-1.0,-1.0,30d+,Company - Public,"Data Scientist
Remote
Primary Skills:
5-8 years of experience with data science and analytical services.
Domain: Experience in Oil and Gas domain or Manufacturing domain.
Exposure to software product development and experience with real time data acquisition system.
Expertise in predictive modeling, machine learning, and statistics.
Well-versed in machine learning algorithms and their suitability for solving various problems: Regression, Bayesian, Support Vector Machines, Decision Trees, Random Forest, Clustering, Neural Networks."
Spotify,"Data Scientist, Spotify Advertising","New York, NY",$78K - $182K (Glassdoor est.),4.2,Information Technology,Internet & Web Services,30d+,2006,"Data, Research & Insights
Data Science
At Spotify Advertising, our part of that mission is to build the next generation advertising platform for audio which can scale the freemium experience for hundreds of millions of fans and tens of thousands of advertisers. This scale brings unique challenges as well as tremendous opportunities to define the insights product for our business.
Location
New York or Remote Americas
Job type"
NTT DATA,Data Scientist,"Woonsocket, RI",Employer Provided Salary:$70 Per Hour,3.8,Information Technology,Information Technology Support Services,24h,1967,"NTT Data is assisting our healthcare client seeking a Hybrid Data Scientist. The position is hybrid located out of Woonsocket, RI. Contract role.
*COVID-19 Vaccine required for this role since it is partial in office.
Start Date: ASAP
Duration: Through end of 2022
Equipment: Provided
Schedule: M-F (8:30a-5p)
Pay: $70.42 per hour
PURPOSE OF THE JOB
As a FS Marketing and Growth Analytics Data Scientist, you will focus on understanding of our clients stores performance. Key responsibilities will include measuring business impact of Front Store operational initiatives. The ideal candidate will have a strong analytics background with experience leveraging SQL to solve business problems, mining large data sets and using control selection tool to build control groups, develop statistical models and assessing the values of marketing programs. Demonstrated self-direction and applied critical and creative thinking to business challenges is expected."
The Coca-Cola Company,Data Scientist 2,"Plano, TX",$82K - $164K (Glassdoor est.),4.0,Manufacturing,Food & Beverage Manufacturing,3d,1886,"About Enterprise Data and Analytics:
The Data and Analytics (DnA) Services organization is transforming how Coca-Cola leverages data across the entire company. We passionately develop and scale leading data capabilities for Coca-Cola, driving growth and delighting consumers through innovation and agile, insight-led decision making.
Job Description Summary:
You will play a critical role in the growing Data Science Services team in DnA, where you will be responsible for developing advanced analytics and machine learning models across domains including: marketing, supply chain optimization, forecasting, digital transformation, and food and beverage science. You will work closely with IT partners, process owners and business stakeholders to deliver impactful data science solutions at significant scale. You will have the opportunity to do your best work every day and deliver disruptive innovation by tapping into new datasets, leveraging the latest cloud technologies, and being supported by a robust analytics and IT organization."
Roche,Data Scientist - (Remote),"Indianapolis, IN",Employer Provided Salary:$90K - $135K,4.2,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,19d,1896,"This is a remote opportunity.
The Opportunity:
This is an exciting time to join Roche Diagnostics! You will help Roche continue to progress through the data maturity model using data science methods and principles to generate deeper insights from a great variety of internal and external data sources. To achieve this, you will identify needs, lead the design and implementation of analytical solutions, provide advice and consulting support to our key business stakeholders and demonstrate value by executing proof-of-concept initiatives and prototyping analytical solutions to answer business questions.

As a Data Scientist, you will position data science as a key competency within the enterprise and be responsible for creating value from data assets using advanced analytics capabilities including data science, machine learning, and artificial intelligence methodologies to identify critical business risk and opportunities for Roche.


Individual contributor"
Durham County,DATA SCIENTIST,"Durham, NC",Employer Provided Salary:$65K - $117K,3.1,Government & Public Administration,Municipal Agencies,,Government,"Durham County Government employs approximately 1,900 employees that work towards providing needed services throughout the community. With a wide array of services, Durham County Government is at the heart of a rapidly growing and diverse area offering residents, employees and visitors exciting opportunities to live, work, grow and play.

DEPARTMENT:
Fire Marshal/Emergency Mgmt

DATE POSTED:
July 12, 2021"
Yelp,Data Scientist (Remote),Remote,Employer Provided Salary:$88K - $220K,3.5,Information Technology,Internet & Web Services,30d+,2004,"At Yelp, it’s our mission to connect people with great local businesses. Yelp’s unique dataset contains billions of interactions between users and businesses around the globe, from a review of a coffee shop to requesting a repair quote with a photo of a leaky faucet. Data Scientists at Yelp work to make sense of these interactions to deliver impactful analyses and products to our users, business partners and the general public.

The Data Science & Analytics team performs analyses, builds models, and designs experiments that directly impact Yelp’s products and users. Our teams sit in Yelp’s central product management organization and work directly with cross-functional leaders to understand quantitatively how our products are performing and where the largest opportunities are. We are adept at tasks like modeling user preferences, inference from user and marketplace experiments, and generating insights about the health of local economies. With diverse backgrounds and expertise, we strive for learning and growth in a collaborative environment.

This opportunity is fully remote and does not require you to be located in any particular state within the US. We welcome applicants from throughout the US."
CrowdStrike,HR Analytics – Data Scientist (Remote),Remote,Employer Provided Salary:$97K - $146K,4.4,Information Technology,Enterprise Software & Network Solutions,24h,2011,"#WeAreCrowdStrike and our mission is to stop breaches. As a global leader in cybersecurity, our team changed the game. Since our inception, our market leading cloud-native platform has offered unparalleled protection against the most sophisticated cyberattacks. We’re looking for people with limitless passion, a relentless focus on innovation and a fanatical commitment to the customer to join us in shaping the future of cybersecurity. Consistently recognized as a top workplace, CrowdStrike is committed to cultivating an inclusive, remote-first culture that offers people the autonomy and flexibility to balance the needs of work and life while taking their career to the next level. Interested in working for a company that sets the standard and leads with integrity? Join us on a mission that matters - one team, one fight.
About the role:
The HR Analytics - Data Scientist will serve as a key player in the transformation of our HR Data strategy. This will include creating data connections/integrations between core systems of record, and then using this data to find insights, tell stories, and inform the HR strategy and Senior Leaders. The HR Data Scientist will report to the Head of HR Data & Analytics and act in a versatile capacity to build out a data warehouse, create analytical models/visualizations, and partner with stakeholders to track progress towards/deliver against company-wide objectives.
CrowdStrike, Inc. is committed to fair and equitable compensation practices. For applicants in Colorado the salary range is $97,016 - $145,524 + bonus + equity + benefits. A candidate’s salary is determined by various factors including, but not limited to, relevant work experience, skills, and certifications. The salary range may differ in other states."
BDSA,Data Scientist (Junior),"Louisville, CO",Employer Provided Salary:$90K - $110K,1.4,-1.0,-1.0,30d+,Company - Private,"Job Summary: The Analytics team empowers BDSA through the development of syndicated market research products based on various datasets. As a Junior Data Scientist, you will work on highly complex projects supporting the Product and Professional Services teams with data wrangling, data cleaning, and data reporting tools and techniques.
Your day-to-day activities will involve using heterogeneous datasets to derive insights and automation. For example, combining public weather data with proprietary sales data to identify trends and build forecasts, or using ML/AI tools to parse large datasets and deduplicate data.
QC/QA processes are critical elements of this work and you will spend substantial time automating and managing automated QC/QA systems. The datasets grow substantially day by day and automation of the QC/QA environment is a top priority.
This is a fast-paced environment with a variety of challenges, many of which are driven by external factors. If you're excited to work on new projects, constantly find ways to overcome obstacles, and find joy in solving problems than this may be the job for you. As a junior data scientist, you'll work under the direction of senior team members and be expected to rapidly learn new tools and techniques. While work will be guided by more seasoned team members, your intellect, technical skills, and creativity will be highly valued and there is room for advancement."
sourcemantra,Data Scientist,"Redmond, WA",Employer Provided Salary:$63K - $123K,3.7,Financial Services,Accounting & Tax,27d,Company - Public,"Hi,
Hope you are doing good!!!
Role: Data Scientist
Location: Redmond,WA
Duration: Long Term
We are looking for a dedicated Data Scientist to support ML Ops, build ML models for efficient pattern, or anomaly detection for support issues.
? Building tools to automate data collection
? Searching through large data sets for usable information
? Correlating similar data to find actionable results
? Develop and assess AI algorithms, based on large and complex data sets, across multiple projects and product lines, to meet customer requirements.
? Utilize Machine Learning and NLP techniques to drive innovation
? Creating reports and presentations for business uses
? Development and assessment of high-quality AI-based solutions that take account of aspects such as transparency, accountability and trustworthiness."
The Voleon Group,Data Scientist,Remote,Employer Provided Salary:$120K,-1.0,-1.0,-1.0,24h,-1.0,"Please apply directly via: https://bit.ly/3lZdZXd
Voleon is a technology company that applies state-of-the-art machine learning techniques to real-world problems in finance. For more than a decade, we have led our industry and worked at the frontier of applying machine learning to investment management. We have become a multibillion-dollar asset manager, and we have ambitious goals for the future.
Your colleagues will include internationally recognized experts in machine learning research as well as highly experienced technology and finance professionals. The people who shape our company come from other backgrounds, too, including concert music performance, humanitarian aid, opera singing, sports writing, and BMX racing. You will be part of a team that loves to succeed together.
In addition to our enriching and collegial working environment, we offer highly competitive compensation and benefits packages, technology talks by our experts, a beautiful modern office, daily catered lunches, and more.
The Voleon Group is forming a new team to help advance our data-driven investment initiatives. As a Data Scientist, you will be responsible for harvesting insights from a complex array of data. Your role will involve data curation, analysis, interpretation, visualization, and communicating your findings to leadership.
Founded in 2007 by two leading scientists, Voleon supports a culture of curiosity and creativity. We do not silo our teams, and you will enjoy a healthy work-life balance while tackling complex problems in a collegial environment. This role makes a difference: as a machine learning company, data insights are essential to our business."
ERPMark Inc,Data Scientist,Remote,Employer Provided Salary:$55 - $65 Per Hour,4.0,Management & Consulting,Business Consulting,13d,Company - Private,"Role: Data Scientist
Location: 100% Remote
Duration: Long Term
NOTE: This is a W2 Role.
Experience:
Prefer background in healthcare, retail, or consulting
Heavy exposure
Product analytics, marketing analytics and data science (traditional supervised machine learning is fine, don’t need deep ML
Critical Skills:
SQL
Python
PySpark
Project Information:
The incumbent will provide critical insights to business stakeholders that will guide decisions on service updates and new functionality to accelerate growth. They are looking for a self-motivated analyst with experience performing advanced analytics to solve large problems."
Altana AI,Data Scientist,"Brooklyn, NY",Employer Provided Salary:$140K - $220K,5.0,Information Technology,Enterprise Software & Network Solutions,30d+,2018,"To solve climate change, wealth inequality, supply chain stability, and national security we must change how our global supply chains work. Altana is a Trusted Commerce Platform built on a shared source of truth for the global supply chain. The purpose of Altana is to enable resilient, sustainable, secure, and inclusive global commerce: Globalization 2.0.

We have built a layer of shared intelligence across the world's supply chain information: a living map of trillions of dollars of B2B commercial activity, covering 400M companies connected by billions of shipments. This knowledge graph powers Altana's Trusted Commerce Platform - the Altana Atlas - which, after only three years since founding, is already used by many of the world's most important governments, enterprises, and logistics providers."
Zelus Analytics,(Junior / Senior) Data Scientist - Sports Analytics,"Austin, TX",Employer Provided Salary:$75K - $150K,-1.0,-1.0,-1.0,15d,Company - Private,"We are seeking data scientists with a passion for sports to implement, automate, and optimize the quantitative models that power our world-class sports intelligence platforms in baseball, basketball, cricket, football (American), hockey, soccer, and tennis. Through your work, you can support the professional teams in our exclusive partner network in their efforts to compete and win championships. We currently have both entry-level and senior positions available, allowing us to consider qualified candidates with a wide range of experience levels.
Zelus Analytics unites a fast-growing startup environment with a research-focused culture that embraces our core values of integrity, innovation, and inclusion. We pride ourselves on providing meaningful mentorship that offers our team the opportunity to develop and expand their skill sets while also engaging with the broader analytics community. In doing so, we hope to create a new path for a more diverse group of highly talented people to push the cutting edge of sports analytics.
We believe that a diverse team is vital to building the world's best sports intelligence platform. Thus, we strongly encourage you to apply if you identify with any marginalized community across race, ethnicity, gender, sexual orientation, veteran status, or disability. At Zelus, we are committed to creating an inclusive environment where all of our employees are enabled and empowered to succeed and thrive."
PPD,SCIENTIST - DATA REVIEW - REMOTE,"Middleton, WI",$59K - $119K (Glassdoor est.),4.0,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,24h,1985,"JOB DESCRIPTION
PPD is a leading global contract research organization providing comprehensive, integrated drug development, laboratory and lifecycle management services. At PPD, we are passionate, deliberate, and driven by our purpose- to improve health!

Envision a workplace where you have a direct impact on improving health, work alongside expert scientists, use newest technologies and collaborate with industry thought leaders and therapeutic experts. Welcome to PPD® Laboratories, where science is our passion, quality is our commitment and people are the cornerstone of our success.

As a Scientist you will perform a variety of complex sample preparation and analysis procedures to quantitatively measure pharmaceutical and biopharmaceutical compounds in a variety of formulations and/or biological matrices."
The Hershey Company,Data Scientist,"Hershey, PA",$65K - $116K (Glassdoor est.),3.9,Manufacturing,Food & Beverage Manufacturing,30d+,1894,"Title: Data Scientist
Location: Hershey, PA
NOTE: ***This position can be 100% remote***

Position Description:

The Enterprise Data organization drives value for Hershey by providing high-quality, well governed data to the Enterprise for analytics and decision-making. The Data Scientist will be part of the Enterprise Data Science team, working with Hershey business partners, technical engineers, data architects, and project managers to ensure data science standards adhere to company best practice and help to deliver rapid impactful benefits. You will act as a trusted advisor for Hershey business partners to build new, data-driven, machine-intelligent capabilities that impact the business. You will work with large volumes of data, innovative technologies, and advanced methods to solve real business problems. You'll design and run experiments, research new algorithms, and find new ways of optimizing risk, profitability, and the customer experience. You will work with a diverse team of business analysts, technical engineers, data architects, and project managers to deliver outcomes aligned with our business partner’s strategy. In addition, you will work directly with the Director of Data Science to ensure consistency and compliance of deliverables to frameworks and governance processes."
Apisero,Data Scientist,Remote,Employer Provided Salary:$70 - $75 Per Hour,4.3,Information Technology,Information Technology Support Services,7d,2016,"We're Hiring Data scientists for our Internal client's projects
Contract - Remote
- A/b testing
- Statistics
- Python, R Programming
- Timer series and Forecasting
Job Type: Contract
Salary: $70.00 - $75.00 per hour"
Avis Budget Group,Associate Data Scientist,"Parsippany, NJ",Employer Provided Salary:$60K - $74K,3.4,Transportation & Logistics,Car & Truck Rental,30d+,1946,"Associate Data Scientist
The role of an associate data scientist is to leverage advanced data analytics and data science skills, techniques and models efficiently and effectively across many different areas and lines of the business, to help the organization best understand and predict actions, behaviors, trends, and areas of opportunity. This person will work as part of one or more product teams focused on empowering our organization to make the best decisions possible by leveraging data. We have teams focused on analytics and data science across many critical areas, including marketing, customer service, fleet, supply chain and operations.
This person will have the opportunity to contribute to helping solve problems like:
1. How to best segment and understand our customers so we can connect with them in the most personalized manner to drive more engagement and create a differentiated customer experience"
APPIC Solutions LLC,Senior Data Scientist,"Englewood, CO",Employer Provided Salary:$60 - $70 Per Hour,5.0,-1.0,-1.0,24h,Company - Private,"Data Scientist (Senior Level)
Location: Englewood, CO
(On-site day one. NO remote opportunities are available for this role. Please only apply if you are within the area or willing to relocate).
About the Role:
The ideal candidate is expected to show strong business acumen and understand business problems, develop hypotheses and test the results to influence solution design. Have experience in the OTT/broadcast industry which will help you to apply and shape solutions.
Should be hands on with various tools for data processing, analysis and visualization, programming languages and frameworks to derive meaningful insights. (Examples: Python, Spark, R, TensorFlow, PyTorch, AWS Kinesis, Redshift, etc). Day-to-Day Responsibilities:"
Precise Solutions,Data Scientist,"Waukegan, IL",Employer Provided Salary:$60 Per Hour,2.9,-1.0,-1.0,30d+,Company - Private,"At Precise Solutions, we are looking for top talent consultants to bring on as employees of our organization and service our clients in the various Life Sciences Industries. We are much more than a consulting firm! Precise Solutions provides competitive compensation packages with great salaries, benefits, health insurance, paid time off and employer-based 401k contributions.
We currently have an immediate need for the following:
Job Title: Data Scientist
Location: Remote until virus restrictions are removed. Onsite in Lake County, Illinois after restrictions.
Compensation: $60.00 per hour, Paid Time off, Company 401k contributions, Health, dental, and vision insurance. Total Annual Compensation including benefits is $138,000.00
Note: Please do not submit resumes with candidate photos, they will not be considered.
Enterprise Data Scientist is the key player in driving advanced analytics and maturing AI at client, supporting multiple use cases across various business technology organizations within the client; covering but not limited to language/image processing, machine learning analytics, deep learning analytics etc. The use cases cover areas in the client’s research, commercial operations, manufacturing systems, supply chain planning, logistics, infrastructure processes etc."
