company_name,job_title,location,est_salary,rating,sector,industry,job_age,job_description
US Office of Inspector General,Data Scientist,"Albuquerque, NM",Employer Provided Salary:$55K - $127K,3.5,Government & Public Administration,National Agencies,4d,"Duties
The following are the duties of this position at the GS-14. If you are selected at a lower grade level, you will have the opportunity to learn to perform all these duties, and will receive training to help you grow in this position.

As a Data Scientist, you will:
Lead or collaborate with appropriate staff in creating advanced analytic products, such as complex numerical and statistical analyses or AI algorithms.
Work with the Director to optimize joint production, development and training efforts and project design.
Support the division in identifying internal training needs regarding available data science methods, assets, tools, and analytics approaches, and provide authoritative advice to enhance efficiency and productivity of staff through the application of AI."
US Veterans Benefits Administration,Data Scientist,"Albuquerque, NM",Employer Provided Salary:$55K - $151K,3.4,Government & Public Administration,National Agencies,4d,"Duties
Conduct advanced Analytics in areas. (such as: Regression Analysis, Statistical Analysis, Modeling Machine Learning, Natural Language Processing , Time Series forecasting, and Data Visualization).
Perform work utilizing established and emerging data science tools, (such as Toad, SAS, R, Python, Tableau, and cloud analytics platforms).
Conduct data extraction by using computer programming without preset specifications.
Analyze and evaluate (on a quantitative or qualitative basis) the effectiveness of program operations in meeting established goals and objectives.
Develop code for new predictive or time series models.
Evaluate models and findings of other analysts or contractors."
MIT,Data Scientist,"Cambridge, MA",$86K - $167K (Glassdoor est.),4.4,Education,Colleges & Universities,4d,"Information on MIT’s COVID-19 vaccination requirement can be found at the bottom of this posting.

DATA SCIENTIST, Brain and Cognitive Sciences, to serve as data scientist for the InBRAIN Collaboration, a collaboration with the Neurosurgery Department at Massachusetts General Hospital (MGH) that creates opportunities for ethical and innovative human basic and translational intracranial neuroscience research, with a focus on robust data standards and sharing policies. Responsibilities include building data sharing policies, enforcing compliance, and identifying further avenues for collaboration; data warehousing; developing and overseeing protocols for secure and HIPAA-compliant data transfer; building tools to automate data collection, deidentification, and preprocessing steps; creating, maintaining, and modifying dashboards built on a SQL engine to query metadata; training lab members on leveraging the AWS infrastructure; logging, maintaining, and executing access to all computational resources; aiding the development of a new MIT course based on human intracranial data; and performing other duties as needed."
Pipe Technologies,Data Scientist,"Miami, FL",$65K - $102K (Glassdoor est.),5.0,Not given,Not given,1d,"About Pipe
Pipe is a new kind of trading platform that enables entrepreneurs to grow their businesses on their terms. By treating recurring revenue streams as an asset, Pipe allows companies to transform their recurring revenue into up-front capital, instantly. For entrepreneurs, that means more cash flow for scaling a business without dilution or restrictive debt. For investors, Pipe has unlocked a previously untapped asset class. Whether you're an entrepreneur or an investor, Pipe is growth on your terms.
We're a fully distributed, remote-first, fast-growing startup. Our engineering, data science and risk teams are spread from UTC-8 to UTC+6 and we rely heavily on our written communication skills in order to make it work. We believe in giving our team agency and control over their schedules: we avoid standing meetings, and default to asynchronous communication. There are no core working hours, we just ask our team to communicate clearly about their schedules and be considerate to their coworkers if plans change. You will occasionally need to be flexible in order to meet synchronously with colleagues in different time zones."
U.S. Army Training and Doctrine Command,Data Scientist,"Fort Leavenworth, KS",Employer Provided Salary:$96K - $124K,3.8,Government & Public Administration,National Agencies,4d,"Duties
As a Data Scientist, you will perform duties to include but not limited to the following:
Responsible for the application of operations research and advanced data analysis techniques.
Plans and conducts, as project lead or member of a study team, relevant research and analytical studies of Army problems to support critical operational problems and/or decisions.
Directs and coordinates specific data mining, analysis, advanced modeling, development of mathematical algorithms, and computer program design activities with Department of Defense organizations.
Formulates analytical/mathematical procedures to solve operational data problems.
Provides expert consultation to heads of major organizations, high-ranking government official, and key personnel within and outside the federal government."
Los Angeles County Department of Human Resources,DATA SCIENTIST,"Los Angeles, CA",Employer Provided Salary:$100K - $135K,3.3,Healthcare,Health Care Services & Hospitals,16d,"EXAM NUMBER:
PH1763A
FIRST DAY OF FILING:
Friday, May 13, 2022 at 8:30 a.m., Pacific Time (PT)
Until the needs of the service are met and is subject to closure without prior notice.
TYPE OF RECRUITMENT:
Open Competitive Job Opportunity

Position Information:
Under general supervision, develops and applies methods to identify, collect, process, organize, and analyze structured and unstructured data using statistical prediction, inference, and optimization; effectively communicates results to County, departmental, and divisional decision makers to support data-driven program design and management."
CVS Health,Data Scientist,Georgia,Not given,Not given,Not given,Not given,5d,"At Aetna, a CVS Health company, we are joined in a common purpose: helping people on their path to better health. We are working to transform health care through innovations that make quality care more accessible, easier to use, less expensive, and patient-focused. Working together and organizing around the individual, we are pioneering a new approach to total health that puts people at the heart.

We are committed to maintaining a diverse and inclusive workplace. CVS Health is an equal opportunity and affirmative action employer. We do not discriminate in recruiting, hiring or promotion based on race, ethnicity, gender, gender identity, age, disability or protected veteran status. We proudly support and encourage people with military experience (active, veterans, reservists and National Guard) as well as military spouses to apply for CVS Health job opportunities.

POSITION SUMMARY
Aetna’s Clinical Analytics team creates innovative analytic tools to drive better healthcare outcomes. We’re currently seeking a Data Scientist to support the development and implementation of analytic capabilities that measure and enhance the value of integration of CVS Health products and programs. Responsibilities include development of advanced analytics, predictive models and machine learning/deep learning algorithms to identify care opportunities, prioritization of clinical recommendations, evaluation of program performance, and optimization of information delivery. The Data Scientist will collaborate with other data scientists and business partners and will participate in all phases of initiatives from exploration of clinical opportunities, development of solutions, to partnering with IT and business teams for implementation.

FUNDAMENTAL COMPONENTS






CVS Health requires certain colleagues to be fully vaccinated against COVID-19 (including any booster shots if required), where allowable under the law, unless they are approved for a reasonable accommodation based on disability, medical condition, religious belief, or other legally recognized reasons that prevents them from being vaccinated.

You are required to have received at least one COVID-19 shot prior to your first day of employment and to provide proof of your vaccination status or apply for a reasonable accommodation within the first 10 days of your employment. Please note that in some states and roles, you may be required to provide proof of full vaccination or an approved reasonable accommodation before you can begin to actively work.




Bachelor’s degree required; Master’s degree preferred. Degree or relevant work experience in Mathematics, Statistics/Biostatistics, Epidemiology, Economics, or related discipline.


Bring your heart to CVS Health
Every one of us at CVS Health shares a single, clear purpose: Bringing our heart to every moment of your health. This purpose guides our commitment to deliver enhanced human-centric health care for a rapidly changing world. Anchored in our brand — with heart at its center — our purpose sends a personal message that how we deliver our services is just as important as what we deliver.

Our Heart At Work Behaviors™ support this purpose. We want everyone who works at CVS Health to feel empowered by the role they play in transforming our culture and accelerating our ability to innovate and deliver solutions to make health care more personal, convenient and affordable.
We strive to promote and sustain a culture of diversity, inclusion and belonging every day.
CVS Health is an affirmative action employer, and is an equal opportunity employer, as are the physician-owned businesses for which CVS Health provides management services. We do not discriminate in recruiting, hiring, promotion, or any other personnel action based on race, ethnicity, color, national origin, sex/gender, sexual orientation, gender identity or expression, religion, age, disability, protected veteran status, or any other characteristic protected by applicable federal, state, or local law."
Discord,"Senior Data Scientist, Analytics","San Francisco, CA",Employer Provided Salary:$140K,4.1,Information Technology,Internet & Web Services,30d+,"Discord is looking for experienced and passionate data scientist to join our small-but-growing Data Science team! As a member of the Data Science team, you will help Discord achieve its mission of providing people with a sense of belonging in online communities, by collaborating directly with the teams who design, build, and support Discord. If you're passionate about data, impact, and working on an amazing team, read on and check out our blog about how our team informs strategy & innovation at Discord here!"
US United States Space Force Forces,DATA SCIENTIST,"Wright Patterson AFB, OH",Employer Provided Salary:$97K - $127K,4.1,Government & Public Administration,National Agencies,2d,"Duties
1. Analyzes a variety of data sources and systems and determines the potential benefits of automation.
2. Evaluates the effectiveness of operations based on data findings and makes recommendations to improve operations.
3. Facilitates implementation and/or acquisition of commercial and government technological solutions, products and tools.
4. Conducts, leads and/or participates in special studies, projects and functional reviews to improve process automation and digital transformation.
Requirements
Conditions of Employment"
University of Utah,Data Scientist,"Salt Lake City, UT",Employer Provided Salary:$76K - $130K,4.3,Education,Colleges & Universities,5d,"Announcement
Details
Open Date
11/19/2021

Requisition Number
PRN28533B

Job Title
Data Scientist"
Bain & Company,"Pyxis Senior Associate, Data Scientist","Dallas, TX",$69K - $120K (Glassdoor est.),4.5,Management & Consulting,Business Consulting,2d,"ABOUT US

Bain & Company is a global consultancy that helps the world’s most ambitious change makers define the future.

Across 63 offices in 38 countries, we work alongside our clients as one team with a shared ambition to achieve extraordinary results, outperform the competition, and redefine industries. We complement our tailored, integrated expertise with a vibrant ecosystem of digital innovators to deliver better, faster, and more enduring outcomes. Our 10-year commitment to invest more than $1 billion in pro bono services brings our talent, expertise, and insight to organizations tackling today’s urgent challenges in education, racial equity, social justice, economic development, and the environment. We earned a gold rating from EcoVadis, the leading platform for environmental, social, and ethical performance ratings for global supply chains, putting us in the top 2% of all companies. Since our founding in 1973, we have measured our success by the success of our clients, and we proudly maintain the highest level of client advocacy in the industry.

WHO YOU'LL WORK WITH

Pyxis is Bain’s alternative data & analytics arm acquired in 2019. We are an industry leading market intelligence firm that allows B2C firms (both Bain and non-Bain clients) understand their business using a combination of our best-in-class alternative data portfolio and Bain proprietary insights. Pyxis has seen tremendous growth since being acquired (~171% revenue growth YTD) and is looking to build out its Data Scientist capabilities.

WHAT YOU'LL DO

Pyxis Senior Associate, Data Scientist’s primary responsibility is focused on flawlessly and rapidly executing Pyxis’ core analytics projects (1-2 per week) that leverage cutting edge alternative data. When not actively working on a project, this person will have a significant role in evaluating and testing new alternative datasets that Pyxis considers adding to its growing data portfolio. Finally, she/he will also help to develop Pyxis IP and automate core workflows (e.g., automated slide output) thereby improving both speed and accuracy.

Essential Functions





ABOUT YOU

Education

Required

Preferred

Experience

Required

Preferred

Knowledge, Skills, and Abilities

Required

Preferred

Applicant must have received, or be willing to receive, the COVID-19 vaccine, and be fully vaccinated (established 2 weeks following final dose) by date of employment with Bain & Company to be considered for U.S. based jobs subject to required accommodation process

WHAT MAKES US A GREAT PLACE TO WORK

We are proud to be [1] consistently recognized as one of the world's best places to work, a champion of diversity and a model of social responsibility. We are currently ranked #3 on Glassdoor's Best Places to Work list, and we have maintained a spot in the top four on Glassdoor's list for the last 13 years. We believe that diversity, inclusion and collaboration is key to building extraordinary teams. We hire people with exceptional talents, abilities and potential, then create an environment where you can become the best version of yourself and thrive both professionally and personally. We are publicly recognized by external parties such as Fortune, Vault, Mogul, Working Mother, Glassdoor and the Human Rights Campaign for being a great place to work for diversity and inclusion, women, LGBTQ and parents.

References

Visible links
1. https://www.bain.com/about/diversity-inclusion/"
Booz Allen Hamilton,"Data Scientist, Junior","Patuxent River, MD",$62K - $134K (Glassdoor est.),4.2,Management & Consulting,Business Consulting,2d,"The Challenge:
Are you excited at the prospect of unlocking the secrets held by a data set? Are you fascinated by the possibilities presented by the IoT, machine learning, and artificial intelligence advances? In an increasingly connected world, massive amounts of structured and unstructured data open up new opportunities. As an aspiring data scientist, you know you can help turn these complex data sets into useful information to solve global challenges. Across private and public sectors — from fraud detection, to cancer research, to national intelligence — you see data scientists turning data into actions and you want to be part of the team.
We have an opportunity for you to develop your analytical skills and establish your career in data science. You’ll join a rigorous training program that combines skills assessments, a comprehensive curriculum, functional mentorship, a capstone analytic challenge, and support to place you on your first data science project. You’ll learn how to write scripts to integrate data, conduct exploratory data analysis to discover hidden trends, apply machine learning to train predictive models, and use the right combination of tools and frameworks to turn that set of disparate data points into objective answers that inform decisions. Equipped with the foundational data science skills to accelerate your career, you’ll join a team and apply those skills to support our clients’ critical national security missions. Embrace the challenge and join us in driving change through data science."
Home Depot / THD,Associate Data Scientist (Remote),"Atlanta, GA",Employer Provided Salary:$90K - $150K,3.8,Retail & Wholesale,Home Furniture & Housewares Stores,17d,"The Home Depot is able to offer virtual employment of this position in the following states:
AK, AZ, CA, GA, HI, ID, IL, KS, KY, ME, MA, MI, MN, MT, NE, NV, NH, NJ, NM, NY, ND, OH, OR, RI, SD, TX, UT, VT, WA, WV, WI, WY
Position Purpose:
The Associate Data Scientist is responsible for supporting data science initiatives that drive business profitability, increased efficiencies and improved customer experience. This role works closely with Data Scientists and/or Sr. Data Scientists in their team to develop solutions by applying advanced analytics methods and algorithms for identifying trends and providing business solutions. Based on the specific data science team, this role may need to develop skills in one or more data science specializations, such as optimization, computer vision, recommendation, search or NLP.


As an Associate Data Scientist, you will develop skills that effectively leverage data science methodologies to creatively solve business problems and provide strategic insights. This requires effective communication skills as well as continuous learning and development at both the technical and business level.


70% Solution Development - Design and develop algorithms and models to use against large datasets to create business insights; Supports data science projects by conducting effective analysis to solve business problems; Executes tasks with high levels of efficiency and quality; Consults with Data Scientist or Sr. Data Scientist on appropriate selection, utilization and interpretation of advanced analytical methodologies; Learn about the assigned business areas to provide better solutions by incorporating business-specific knowledge


20% Communicating Results - Effectively communicate insights and recommendations to both technical and non-technical audience; Support preparation of reports, updates and/or presentations related to progress made on a project or solution; Highlights potential impacts of recommendations to drive alignment and appropriate implementation


10% Technical Learning - Keep up to date on industry trends, best practices and emerging methodologies; Continually develop skills and expertise in data analytics concepts and methodologies; Identify opportunities to apply learnings


This position reports to manager or above


This position has 0 direct reports



1. Located in a comfortable indoor area. Any unpleasant conditions would be infrequent and not objectionable.

No travel required."
Los Angeles County Department of Human Resources,SENIOR DATA SCIENTIST,"Los Angeles, CA",Employer Provided Salary:$106K - $143K,3.3,Healthcare,Health Care Services & Hospitals,16d,"EXAM NUMBER:
PH1764A
FIRST DAY OF FILING:
Friday, May 13, 2022 at 8:30 a.m., Pacific Time (PT)
Until the needs of the service are met and is subject to closure without prior notice.
TYPE OF RECRUITMENT:
Open Competitive Job Opportunity

Position Information:
Under general supervision, leads the development and application of methods to identify, collect, process, organize, and analyze structured and unstructured data using advanced statistical prediction, inference, and optimization; effectively communicates results to County, departmental, and divisional decision makers and provides ongoing support to strengthen data-driven program design and management."
Talentheed Inc,Junior Data Scientist,Remote,Employer Provided Salary:$57K - $119K,Not given,Not given,Not given,16d,"Responsibilities:
Identify valuable data sources and automate collection processes
Undertake preprocessing of structured and unstructured data
Analyze large amounts of information to discover trends and patterns
Build predictive models and machine-learning algorithms
Combine models through ensemble modeling
Present information using data visualization techniques
Propose solutions and strategies to business challenges
Collaborate with engineering and product development teams"
"Amazon Web Services, Inc.",Senior Data Scientist - Nationwide Opportunities,Remote,Employer Provided Salary:$116K,3.8,Information Technology,Internet & Web Services,30d+,"Bachelor’s degree in a highly quantitative field (Computer Science, Machine Learning, Operational Research, Statistics, Mathematics, etc.) or equivalent professional or military experience
Experience with ML fields, e.g., natural language processing, computer vision, statistical learning theory
6+ years of industry experience in predictive modeling, data science, and analysis
Experience in an ML engineer or data scientist role building and deploying ML models or hands on experience developing deep learning models
Experience writing code in Python, R, Scala, Java, C++ with documentation for reproducibility
Experience handling terabyte size datasets, diving into data to discover hidden patterns, using data visualization tools, writing SQL, and working with GPUs to develop models
Experience writing and speaking about technical concepts to business, technical, and lay audiences and giving data-driven presentations"
Uber,"Data Scientist, Global Brand Marketing","San Francisco, CA",$107K - $208K (Glassdoor est.),4.0,Information Technology,Internet & Web Services,4d,"About the role
We're looking for a Senior Data Scientist to join our Brand Data Science & Analytics team to provide data expertise as we build brand affinity, growth, retention and engagement of the riders, eaters, and drivers/couriers on the Uber platform. The Senior Data Scientist will support the design and development of highly effective and highly measurable marketing programs. You will collaborate cross-functionally with Marketing, Marketing Intelligence, Media, and other teams to influence the creation and development of global and regional initiatives that achieve business/marketing objectives, while being highly measurable.
What you'll do
Mine data and analytics at the customer level to gain a better understanding of their usage behaviors, including impacts of current marketing strategies."
Nike,"Sr Data Scientist- (Advanced Analytics) (Open to remote work, except the following locations: SD, VT, and WV)","Beaverton, OR",Employer Provided Salary:$140K,4.1,Manufacturing,Consumer Product Manufacturing,19d,"Become a Part of the NIKE, Inc. Team
NIKE, Inc. does more than outfit the world’s best athletes. It is a place to explore potential, obliterate boundaries and push out the edges of what can be. The company looks for people who can grow, think, dream and create. Its culture thrives by embracing diversity and rewarding imagination. The brand seeks achievers, leaders and visionaries. At NIKE, Inc. it’s about each person bringing skills and passion to a challenging and constantly evolving game.
Analytics is a competitive differentiator for Nike and is fundamentally changing how the company serves athletes and consumers around the world! The Nike Commercial Analytics team builds analytic-based solutions to manage marketplace and optimize the supply chain. Using big data, advanced analytics and state-of-the-art technology, we strive to ensure that Nike gets the right product to the right place at the right time for the consumers."
Nike,"Data Scientist - Commercial Analytics (Open to remote work, except the following locations: SD, VT, and WV)","Beaverton, OR",Employer Provided Salary:$117K,4.1,Manufacturing,Consumer Product Manufacturing,30d+,"Become a Part of the NIKE, Inc. Team
NIKE, Inc. does more than outfit the world’s best athletes. It is a place to explore potential, obliterate boundaries and push out the edges of what can be. The company looks for people who can grow, think, dream and create. Its culture thrives by embracing diversity and rewarding imagination. The brand seeks achievers, leaders and visionaries. At NIKE, Inc. it’s about each person bringing skills and passion to a challenging and constantly evolving game.
Analytics is a competitive differentiator for Nike and is fundamentally changing how the company serves athletes and consumers around the world. The Nike Commercial Analytics team builds analytic-based solutions to manage marketplace and optimize the supply chain. Using big data, advanced analytics and innovative technology, we strive to ensure that Nike gets the right product to the right place at the right time for the consumers!"
The Coca-Cola Company,Data Scientist 2,"Plano, TX",$82K - $164K (Glassdoor est.),4.0,Manufacturing,Food & Beverage Manufacturing,1d,"About Enterprise Data and Analytics:
The Data and Analytics (DnA) Services organization is transforming how Coca-Cola leverages data across the entire company. We passionately develop and scale leading data capabilities for Coca-Cola, driving growth and delighting consumers through innovation and agile, insight-led decision making.
Job Description Summary:
You will play a critical role in the growing Data Science Services team in DnA, where you will be responsible for developing advanced analytics and machine learning models across domains including: marketing, supply chain optimization, forecasting, digital transformation, and food and beverage science. You will work closely with IT partners, process owners and business stakeholders to deliver impactful data science solutions at significant scale. You will have the opportunity to do your best work every day and deliver disruptive innovation by tapping into new datasets, leveraging the latest cloud technologies, and being supported by a robust analytics and IT organization."
Pinterest,"Data Scientist, Shopping Monetization","San Francisco, CA",$95K - $227K (Glassdoor est.),4.2,Information Technology,Internet & Web Services,5d,"About Pinterest:
Millions of people across the world come to Pinterest to find new ideas every day. It's where they get inspiration, dream about new possibilities and plan for what matters most. Our mission is to help those people find their inspiration and create a life they love. In your role, you'll be challenged to take on work that upholds this mission and pushes Pinterest forward. You'll grow as a person and leader in your field, all the while helping Pinners make their lives better in the positive corner of the internet.
Our new progressive work model is called PinFlex, a term that's uniquely Pinterest to describe our flexible approach to living and working. Visit our PinFlex landing page to learn more.
As a Data Scientist you will shape the future of people-facing and business-facing products we build at Pinterest. Your expertise in quantitative modeling, experimentation and algorithms will be utilized to solve some of the most complex engineering challenges at the company. You will collaborate on a wide array of product and business problems with a diverse set of cross-functional partners across Product, Engineering, Design, Research, Product Analytics, Data Engineering and others. The results of your work will influence and up-level our product development teams while introducing greater scientific rigor into the real world products serving hundreds of millions of Pinners, creators, advertisers and merchants around the world."
US Federal Aviation Administration,Data Scientist,"Washington, DC",Employer Provided Salary:$132K - $204K,4.0,Government & Public Administration,National Agencies,4d,"Duties
The Data Scientist applies experience and expert knowledge to identify the methods, processes, algorithms, tools, and systems to extract data and interpret findings from varied structured and unstructured data sets related to the data science lifecycle. As a recognized expert within the Federal Aviation Administration (FAA), the Scientist is called to provide leadership for highly complex and challenging activities under the minimal direction of the manager. Identifies and resolves highly complex problems or issues, which often cross organizational boundaries within the ATO and frequently throughout the FAA. Work activities typically impact directly on the objectives of the ATO and frequently impacts the objectives of the FAA, the aviation and aerospace industries and other external parties.
Uses statistical methods to extract information from research data and provides different ways to assess the reliability and dependability of research outputs. Develops algorithms and/or tools to support data manipulation and processing as well as the use of data visualization techniques to articulate findings to aid in the design and construction of new innovative concepts, and techniques, such as collision risk modeling. Combines computer science, modeling, statistics, analytics, and mathematics to identify and resolve highly complex problems or issues, which has an impact on the accomplishment of FAA's strategic objectives. Reports quantitative information, trends, relationships and correlations among or within data sets, to support the Air Traffic Organization (ATO), Safety and Technical Training risk management efforts."
"Amazon Web Services, Inc.",Data Scientist - Nationwide Opportunities,Remote,Employer Provided Salary:$115K,3.8,Information Technology,Internet & Web Services,30d+,"Bachelor’s degree in a highly quantitative field (Computer Science, Machine Learning, Operational Research, Statistics, Mathematics, etc.) or equivalent professional or military experience
Experience with ML fields, e.g., natural language processing, computer vision, statistical learning theory
4+ years of industry experience in predictive modeling, data science, and analysis
Experience in an ML engineer or data scientist role building and deploying ML models or hands on experience developing deep learning models
Experience writing code in Python, R, Scala, Java, C++ with documentation for reproducibility
Experience handling terabyte size datasets, diving into data to discover hidden patterns, using data visualization tools, writing SQL, and working with GPUs to develop models
Experience writing and speaking about technical concepts to business, technical, and lay audiences and giving data-driven presentations"
US Defense Information Systems Agency,DATA SCIENTIST,"Fort Meade, MD",Employer Provided Salary:$126K - $164K,3.7,Government & Public Administration,National Agencies,3d,"Duties
Develop and automates large scale, high-performance data processing systems and tools to improve data quality and volume, accelerate iteration cycles, and improve the ability to deliver superior enabled analytics capabilities.
Perform a broad range of data analyses assignments entailing unique problems, creativity, innovative use of techniques, advance approaches and or new technology
Plan and conduct statistical data analytics projects and/or studies to evaluate, design, and tabulate statistical sampling plans and analytical procedures and processes
Participate in meetings, conferences, briefings, and seminars related to data analytics program planning, technologies, and support system concepts."
Harley-Davidson,Data Scientist - Remote,"Milwaukee, WI",$67K - $123K (Glassdoor est.),3.5,Manufacturing,Transportation Equipment Manufacturing,1d,"Auto req ID: 17681
Title: Data Scientist - Remote
Job Function: Product Management
Location: Remote
Company: Harley-Davidson Motor Company
Full or Part-Time: Full Time

At Harley-Davidson, we are building more than machines. It’s our passion and commitment to continue the evolution of this storied brand, and heighten the desirability of the Harley-Davidson experience. To keep building our legend and leading our industry through innovation, evolution, and emotion we need the best and brightest talent. We stand for the timeless pursuit of adventure. Freedom for the soul. Are you ready to join us?

We maximize employee flexibility and well-being through a virtual mindset that supports our highly distributed, global workforce. We take an outcome-focused, people-centered approach to winning, including welcoming the best talent - wherever they may be."
CAE Inc.,Data Scientist I,"Tampa, FL",$70K - $131K (Glassdoor est.),3.7,Aerospace & Defense,Aerospace & Defense,3d,"Role and Responsibilities

Summary
The Data Scientist will be responsible for supporting programs and departments throughout the organization by gathering, verifying, formatting and visualizing data for the business to gain insight and improve decision making. They will work closely with internal and external customers and management to develop and deploy data analysis and statistical analysis strategies to improve overall performance of the business. The focus of the Data Scientist is to assess the existing and potential data sources from the business system architecture and processes used for the execution of the business. The Data Scientist will create and manage data interfaces, transformations and controls to ensure data quality, correlation, and identify errors and gaps within the existing large complex datasets representing the performance of the business. The Data Scientist must then communicate the status of the business’ data posture to the relevant stakeholders in order for the information to be actionable by the stakeholders to prioritize and address the identified errors and gaps. Senior Data Scientist will allow the business to create program performance and process models for use in transitioning the business to a data driven organization focused on model predicted and then measured, realized performance improvements.

Regular"
Roche,Data Scientist - (Remote),"Indianapolis, IN",Employer Provided Salary:$90K - $135K,4.2,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,17d,"This is a remote opportunity.
The Opportunity:
This is an exciting time to join Roche Diagnostics! You will help Roche continue to progress through the data maturity model using data science methods and principles to generate deeper insights from a great variety of internal and external data sources. To achieve this, you will identify needs, lead the design and implementation of analytical solutions, provide advice and consulting support to our key business stakeholders and demonstrate value by executing proof-of-concept initiatives and prototyping analytical solutions to answer business questions.

As a Data Scientist, you will position data science as a key competency within the enterprise and be responsible for creating value from data assets using advanced analytics capabilities including data science, machine learning, and artificial intelligence methodologies to identify critical business risk and opportunities for Roche.


Individual contributor"
MIT,Data Scientist,"Cambridge, MA",$86K - $167K (Glassdoor est.),4.4,Education,Colleges & Universities,4d,"Information on MIT’s COVID-19 vaccination requirement can be found at the bottom of this posting.

DATA SCIENTIST, Brain and Cognitive Sciences, to serve as data scientist for the InBRAIN Collaboration, a collaboration with the Neurosurgery Department at Massachusetts General Hospital (MGH) that creates opportunities for ethical and innovative human basic and translational intracranial neuroscience research, with a focus on robust data standards and sharing policies. Responsibilities include building data sharing policies, enforcing compliance, and identifying further avenues for collaboration; data warehousing; developing and overseeing protocols for secure and HIPAA-compliant data transfer; building tools to automate data collection, deidentification, and preprocessing steps; creating, maintaining, and modifying dashboards built on a SQL engine to query metadata; training lab members on leveraging the AWS infrastructure; logging, maintaining, and executing access to all computational resources; aiding the development of a new MIT course based on human intracranial data; and performing other duties as needed."
US Veterans Benefits Administration,Data Scientist,"Albuquerque, NM",Employer Provided Salary:$55K - $151K,3.4,Government & Public Administration,National Agencies,4d,"Duties
Conduct advanced Analytics in areas. (such as: Regression Analysis, Statistical Analysis, Modeling Machine Learning, Natural Language Processing , Time Series forecasting, and Data Visualization).
Perform work utilizing established and emerging data science tools, (such as Toad, SAS, R, Python, Tableau, and cloud analytics platforms).
Conduct data extraction by using computer programming without preset specifications.
Analyze and evaluate (on a quantitative or qualitative basis) the effectiveness of program operations in meeting established goals and objectives.
Develop code for new predictive or time series models.
Evaluate models and findings of other analysts or contractors."
Honda Dev. and Mfg. of Am LLC,Data Analytics Scientist,"Marysville, OH",$63K - $106K (Glassdoor est.),3.6,Not given,Not given,1d,"Data Analytics Scientist(Job Number: HAM0004EF)
Honda Dev. and Mfg. of Am LLC

Description

Data Analytics Scientist
Location: Marysville, OH

What Makes a Honda, is Who makes a Honda"
Los Angeles County Department of Human Resources,DATA SCIENTIST,"Los Angeles, CA",Employer Provided Salary:$100K - $135K,3.3,Healthcare,Health Care Services & Hospitals,16d,"EXAM NUMBER:
PH1763A
FIRST DAY OF FILING:
Friday, May 13, 2022 at 8:30 a.m., Pacific Time (PT)
Until the needs of the service are met and is subject to closure without prior notice.
TYPE OF RECRUITMENT:
Open Competitive Job Opportunity

Position Information:
Under general supervision, develops and applies methods to identify, collect, process, organize, and analyze structured and unstructured data using statistical prediction, inference, and optimization; effectively communicates results to County, departmental, and divisional decision makers to support data-driven program design and management."
US Office of Inspector General,Data Scientist,"Albuquerque, NM",Employer Provided Salary:$55K - $127K,3.5,Government & Public Administration,National Agencies,4d,"Duties
The following are the duties of this position at the GS-14. If you are selected at a lower grade level, you will have the opportunity to learn to perform all these duties, and will receive training to help you grow in this position.

As a Data Scientist, you will:
Lead or collaborate with appropriate staff in creating advanced analytic products, such as complex numerical and statistical analyses or AI algorithms.
Work with the Director to optimize joint production, development and training efforts and project design.
Support the division in identifying internal training needs regarding available data science methods, assets, tools, and analytics approaches, and provide authoritative advice to enhance efficiency and productivity of staff through the application of AI."
Zelus Analytics,(Junior / Senior) Data Scientist - Sports Analytics,"Austin, TX",Employer Provided Salary:$75K - $150K,Not given,Not given,Not given,12d,"We are seeking data scientists with a passion for sports to implement, automate, and optimize the quantitative models that power our world-class sports intelligence platforms in baseball, basketball, cricket, football (American), hockey, soccer, and tennis. Through your work, you can support the professional teams in our exclusive partner network in their efforts to compete and win championships. We currently have both entry-level and senior positions available, allowing us to consider qualified candidates with a wide range of experience levels.
Zelus Analytics unites a fast-growing startup environment with a research-focused culture that embraces our core values of integrity, innovation, and inclusion. We pride ourselves on providing meaningful mentorship that offers our team the opportunity to develop and expand their skill sets while also engaging with the broader analytics community. In doing so, we hope to create a new path for a more diverse group of highly talented people to push the cutting edge of sports analytics.
We believe that a diverse team is vital to building the world's best sports intelligence platform. Thus, we strongly encourage you to apply if you identify with any marginalized community across race, ethnicity, gender, sexual orientation, veteran status, or disability. At Zelus, we are committed to creating an inclusive environment where all of our employees are enabled and empowered to succeed and thrive."
Los Angeles County Department of Human Resources,SENIOR DATA SCIENTIST,"Los Angeles, CA",Employer Provided Salary:$106K - $143K,3.3,Healthcare,Health Care Services & Hospitals,16d,"EXAM NUMBER:
PH1764A
FIRST DAY OF FILING:
Friday, May 13, 2022 at 8:30 a.m., Pacific Time (PT)
Until the needs of the service are met and is subject to closure without prior notice.
TYPE OF RECRUITMENT:
Open Competitive Job Opportunity

Position Information:
Under general supervision, leads the development and application of methods to identify, collect, process, organize, and analyze structured and unstructured data using advanced statistical prediction, inference, and optimization; effectively communicates results to County, departmental, and divisional decision makers and provides ongoing support to strengthen data-driven program design and management."
